tiempo;estimulo_objetivo;x;y;matriz_estado
98,4847;Pinguino;1382;472;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,5055;Pinguino;1373;487;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,5256;Pinguino;1360;503;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,5466;Pinguino;1348;517;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,5674;Pinguino;1344;524;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,5883;Pinguino;1334;537;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,6090;Pinguino;1326;546;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,6300;Pinguino;1321;553;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,6505;Pinguino;1316;558;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,6714;Pinguino;1312;564;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,6924;Pinguino;1311;565;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,7134;Pinguino;1310;562;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,7347;Pinguino;1309;561;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,7555;Pinguino;1308;561;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,7763;Pinguino;1308;561;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,7972;Pinguino;1308;560;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,8179;Pinguino;1307;560;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,8388;Pinguino;1305;561;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,8596;Pinguino;1304;562;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,8796;Pinguino;1304;562;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,9008;Pinguino;1304;561;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,9216;Pinguino;1305;560;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,9430;Pinguino;1305;559;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,9639;Pinguino;1305;558;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
98,9845;Pinguino;1306;558;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,0048;Pinguino;1307;559;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,0256;Pinguino;1308;559;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,0465;Pinguino;1308;559;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,0680;Pinguino;1307;558;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,0890;Pinguino;1307;557;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,1095;Pinguino;1307;558;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,1305;Pinguino;1307;557;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,1514;Pinguino;1308;556;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,1722;Pinguino;1307;556;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,1930;Pinguino;1309;553;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,2129;Pinguino;1322;540;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,2339;Pinguino;1387;498;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,2549;Pinguino;1387;498;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,2755;Pinguino;1387;498;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,2965;Pinguino;1387;498;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,3173;Pinguino;1290;411;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,3380;Pinguino;1424;390;Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,3595;Pinguino;1398;403;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,3796;Pinguino;1368;416;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,4005;Pinguino;1356;421;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,4214;Pinguino;1336;428;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,4424;Pinguino;1321;433;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,4630;Pinguino;1312;438;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,4839;Pinguino;1307;441;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,5048;Pinguino;1306;440;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,5254;Pinguino;1305;441;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,5465;Pinguino;1304;442;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,5678;Pinguino;1304;438;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,5880;Pinguino;1303;435;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,6088;Pinguino;1303;435;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,6296;Pinguino;1303;435;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,6504;Pinguino;1303;435;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,6714;Pinguino;1303;435;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,6920;Pinguino;1187;573;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,7129;Pinguino;1121;620;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,7338;Pinguino;1050;688;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
99,7548;Pinguino;1029;708;Ninguno-Pato-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno-Ninguno
